Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,38.730000,38.740002,38.490002,38.680000,38.302586,19773400
2021-04-27,38.509998,38.610001,38.349998,38.450001,38.074833,19061500
2021-04-28,38.540001,38.939999,38.520000,38.810001,38.431320,21963300
2021-04-29,38.990002,39.000000,38.310001,38.599998,38.223366,23569400
2021-04-30,38.500000,38.900002,38.490002,38.650002,38.272881,28413200
2021-05-03,39.040001,39.840000,38.959999,39.830002,39.441368,46638600
2021-05-04,40.000000,40.169998,39.430000,39.950001,39.560196,52802200
2021-05-05,40.180000,41.090000,38.930000,39.970001,39.580002,76627500
2021-05-06,38.480000,39.230000,37.959999,39.189999,39.189999,54944900
2021-05-07,39.049999,39.869999,39.049999,39.580002,39.580002,33807800
2021-05-10,39.830002,40.279999,39.779999,39.860001,39.860001,30831900
2021-05-11,39.680000,40.070000,39.230000,39.349998,39.349998,30568600
2021-05-12,39.439999,39.919998,39.310001,39.689999,39.689999,26208600
2021-05-13,39.500000,40.279999,39.500000,40.099998,40.099998,25415000
2021-05-14,40.240002,40.320000,39.919998,40.020000,40.020000,18041100
2021-05-17,40.070000,40.400002,40.009998,40.110001,40.110001,18095000
2021-05-18,40.180000,40.349998,39.830002,40.049999,40.049999,15805500
2021-05-19,39.900002,39.900002,39.430000,39.830002,39.830002,20209500
2021-05-20,39.730000,40.250000,39.720001,40.119999,40.119999,18621100
2021-05-21,40.209999,40.599998,39.910000,39.950001,39.950001,21144800
2021-05-24,40.080002,40.139999,39.779999,39.810001,39.810001,16922300
2021-05-25,39.820000,39.860001,39.240002,39.330002,39.330002,25916300
2021-05-26,39.290001,39.299999,38.779999,38.919998,38.919998,28036500
2021-05-27,38.970001,39.180000,38.599998,38.650002,38.650002,38471200
2021-05-28,38.750000,39.020000,38.680000,38.730000,38.730000,16154100
2021-06-01,38.939999,39.000000,38.480000,38.500000,38.500000,23642400
2021-06-02,38.639999,38.930000,38.540001,38.790001,38.790001,19629000
2021-06-03,38.759998,39.040001,38.630001,38.970001,38.970001,17376300
2021-06-04,39.049999,39.500000,39.020000,39.150002,39.150002,19375300
2021-06-07,39.080002,39.599998,38.970001,38.990002,38.990002,24110700
2021-06-08,39.070000,39.110001,38.480000,38.849998,38.849998,18880300
2021-06-09,39.000000,39.840000,38.980000,39.810001,39.810001,29824000
2021-06-10,39.900002,40.720001,39.889999,40.680000,40.680000,42613700
2021-06-11,40.660000,40.669998,39.950001,40.150002,40.150002,21386900
2021-06-14,40.029999,40.070000,39.380001,39.630001,39.630001,23408300
2021-06-15,39.709999,39.840000,39.389999,39.590000,39.590000,20206900
2021-06-16,39.619999,39.840000,39.279999,39.299999,39.299999,19177500
2021-06-17,39.270000,39.590000,39.070000,39.480000,39.480000,19580100
2021-06-18,39.299999,39.439999,38.700001,38.810001,38.810001,37559000
2021-06-21,38.880001,39.480000,38.880001,39.419998,39.419998,19488100
2021-06-22,39.410000,39.689999,39.259998,39.610001,39.610001,15975900
2021-06-23,39.630001,39.660000,38.980000,39.049999,39.049999,22025400
2021-06-24,39.139999,39.349998,39.080002,39.189999,39.189999,13436500
2021-06-25,39.119999,39.410000,38.889999,38.980000,38.980000,22760200
2021-06-28,39.009998,39.209999,38.900002,39.119999,39.119999,19221600
