Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,51.529999,51.700001,47.299999,48.049999,48.049999,13744400
2020-04-28,50.400002,50.450001,47.169998,47.880001,47.880001,13067200
2020-04-29,46.599998,46.950001,45.009998,46.369999,46.369999,11762000
2020-04-30,46.779999,48.369999,45.820000,45.990002,45.990002,7741900
2020-05-01,48.709999,50.450001,46.290001,47.930000,47.930000,21701300
2020-05-04,48.049999,50.500000,48.000000,50.500000,50.500000,10460500
2020-05-05,50.480000,50.959999,47.230000,49.340000,49.340000,11160200
2020-05-06,48.450001,49.250000,47.520000,48.950001,48.950001,6692300
2020-05-07,55.779999,55.990002,51.060001,53.189999,53.189999,30942700
2020-05-08,53.060001,59.880001,52.150002,59.250000,59.250000,24083200
2020-05-11,59.599998,67.669998,59.139999,66.900002,66.900002,34852000
2020-05-12,65.989998,68.489998,62.020000,62.349998,62.349998,25934500
2020-05-13,63.799999,66.970001,60.290001,65.180000,65.180000,22126000
2020-05-14,64.790001,65.389999,61.439999,64.559998,64.559998,12198200
2020-05-15,63.790001,67.669998,63.009998,66.690002,66.690002,16341900
2020-05-18,86.139999,87.000000,75.660004,80.000000,80.000000,80813300
2020-05-19,78.070000,79.750000,70.320000,71.669998,71.669998,64932300
2020-05-20,70.010002,74.480003,67.410004,73.470001,73.470001,53655300
2020-05-21,73.050003,73.160004,65.309998,67.050003,67.050003,35318000
2020-05-22,69.930000,70.599998,67.139999,69.000000,69.000000,28912700
2020-05-26,66.400002,66.589996,57.049999,57.709999,57.709999,40332600
2020-05-27,51.200001,53.340000,46.130001,52.180000,52.180000,59514700
2020-05-28,53.500000,59.110001,53.349998,55.540001,55.540001,32258900
2020-05-29,57.450001,61.650002,56.560001,61.500000,61.500000,38070400
2020-06-01,62.759998,63.900002,60.509998,62.180000,62.180000,21257500
2020-06-02,58.700001,59.950001,55.355000,59.869999,59.869999,21701100
2020-06-03,57.509998,63.369999,57.099998,59.889999,59.889999,20811500
2020-06-04,61.610001,61.930000,58.520000,60.590000,60.590000,13504000
2020-06-05,58.490002,59.189999,56.630001,58.189999,58.189999,14677900
2020-06-08,58.299999,59.380001,56.720001,59.099998,59.099998,11249300
2020-06-09,58.549999,59.404999,57.730000,58.230000,58.230000,7600200
2020-06-10,58.799999,60.720001,58.599998,60.070000,60.070000,11074400
2020-06-11,62.950001,66.686996,58.770000,60.200001,60.200001,32085200
2020-06-12,62.355000,63.630001,60.290001,62.000000,62.000000,14742900
2020-06-15,65.900002,66.980003,63.424000,66.570000,66.570000,19339300
2020-06-16,66.309998,66.599998,62.599998,64.339996,64.339996,16537800
2020-06-17,63.599998,65.879997,62.580002,63.310001,63.310001,13616000
2020-06-18,63.029999,65.400002,62.580002,64.949997,64.949997,10914400
2020-06-19,64.989998,66.449997,64.010002,66.349998,66.349998,16076700
2020-06-22,65.919998,66.290001,62.119999,64.750000,64.750000,13586400
2020-06-23,64.099998,65.080002,62.740002,62.939999,62.939999,12361300
2020-06-24,63.230000,66.155998,63.139999,64.839996,64.839996,14377100
2020-06-25,67.000000,67.000000,58.509998,62.000000,62.000000,26905700
2020-06-26,60.709999,62.290001,59.139999,61.279999,61.279999,13866300
2020-06-29,61.820000,63.000000,59.400002,62.080002,62.080002,8074200
2020-06-30,62.180000,65.158997,61.799999,64.209999,64.209999,11955200
2020-07-01,63.000000,63.730000,59.119999,61.590000,61.590000,17916500
2020-07-02,60.000000,61.799999,55.810001,58.570000,58.570000,26544400
2020-07-06,58.549999,60.730000,57.099998,59.150002,59.150002,9977300
2020-07-07,58.799999,61.500000,57.439999,61.090000,61.090000,8904300
2020-07-08,60.790001,62.459999,59.450001,61.580002,61.580002,7590900
2020-07-09,62.090000,65.349998,58.880001,64.959999,64.959999,20646100
2020-07-10,64.650002,64.930000,62.320000,62.610001,62.610001,7407500
2020-07-13,63.889999,77.750000,63.799999,71.779999,71.779999,56617300
2020-07-14,74.000000,76.948997,70.620003,75.040001,75.040001,38708800
2020-07-15,87.519997,88.370003,78.010002,80.220001,80.220001,90756100
2020-07-16,80.160004,84.290001,79.599998,81.809998,81.809998,27277400
2020-07-17,83.349998,95.209999,82.610001,94.849998,94.849998,103509200
2020-07-20,87.860001,90.849998,78.050003,82.680000,82.680000,78391300
2020-07-21,80.910004,82.430000,79.070000,80.860001,80.860001,26157900
2020-07-22,79.610001,84.120003,79.110001,83.224998,83.224998,27274000
2020-07-23,82.050003,82.680000,72.199997,75.330002,75.330002,29288100
2020-07-24,69.050003,73.900002,66.540001,73.209999,73.209999,27797500
2020-07-27,80.629997,80.980003,76.160004,79.910004,79.910004,44710700
2020-07-28,81.000000,83.849998,79.500000,81.489998,81.489998,32946900
2020-07-29,81.980003,82.820000,76.550003,79.510002,79.510002,24453900
2020-07-30,78.000000,79.250000,76.800003,77.629997,77.629997,13102000
2020-07-31,78.199997,78.440002,73.603996,74.099998,74.099998,14210400
2020-08-03,74.980003,77.989998,73.029999,77.980003,77.980003,13382300
2020-08-04,78.192001,78.620003,75.500000,78.459999,78.459999,10126500
2020-08-05,77.489998,77.489998,73.690002,75.800003,75.800003,19831900
2020-08-06,75.790001,76.250000,73.120003,73.760002,73.760002,11691500
2020-08-07,74.379997,75.389999,73.010002,74.099998,74.099998,8771400
2020-08-10,74.269997,75.000000,71.410004,72.010002,72.010002,8678300
2020-08-11,69.519997,71.400002,67.000000,68.970001,68.970001,18118700
2020-08-12,75.669998,75.750000,68.300003,69.519997,69.519997,50362100
2020-08-13,69.089996,69.180000,67.050003,67.830002,67.830002,15055900
2020-08-14,68.059998,70.360001,67.860001,69.150002,69.150002,12799600
2020-08-17,69.139999,70.779999,68.379997,69.760002,69.760002,8749100
2020-08-18,68.279999,69.699997,65.230003,67.029999,67.029999,11329200
2020-08-19,66.739998,69.169998,66.599998,68.000000,68.000000,8558800
2020-08-20,67.790001,68.000000,66.629997,67.809998,67.809998,6346700
2020-08-21,67.500000,68.019997,65.599998,66.449997,66.449997,6935600
2020-08-24,67.150002,67.849998,62.880001,64.879997,64.879997,13143200
2020-08-25,64.320000,66.695999,63.549999,66.250000,66.250000,7798500
2020-08-26,67.620003,71.639999,66.029999,70.500000,70.500000,28768100
2020-08-27,69.980003,70.320000,67.010002,68.029999,68.029999,9262600
2020-08-28,68.040001,68.949997,67.150002,67.489998,67.489998,6368200
2020-08-31,67.139999,67.199997,62.540001,64.889999,64.889999,15271800
2020-09-01,63.540001,64.500000,62.500000,63.320000,63.320000,8183600
2020-09-02,62.840000,64.889999,61.381001,64.720001,64.720001,9874600
2020-09-03,65.650002,69.349998,64.300003,64.839996,64.839996,14307300
2020-09-04,64.989998,65.000000,59.009998,62.599998,62.599998,11653300
2020-09-08,57.750000,58.599998,54.209999,54.340000,54.340000,17706200
2020-09-09,56.029999,57.189999,54.509998,56.900002,56.900002,9355400
2020-09-10,57.041000,60.320000,56.869999,57.560001,57.560001,7985300
2020-09-11,58.490002,59.509998,57.450001,59.340000,59.340000,4821900
2020-09-14,60.150002,63.849998,60.115002,63.669998,63.669998,8930800
2020-09-15,65.027000,68.410004,64.228996,66.879997,66.879997,9101200
2020-09-16,67.639999,70.040001,66.730003,68.839996,68.839996,11345200
2020-09-17,68.500000,70.900002,64.599998,67.889999,67.889999,13275200
2020-09-18,68.279999,70.000000,66.099998,69.870003,69.870003,13206200
2020-09-21,68.599998,69.480003,65.459999,69.260002,69.260002,8223000
