Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,52.450001,52.480000,51.990002,52.369999,52.369999,6451500
2021-04-27,52.799999,52.810001,52.310001,52.369999,52.369999,8342200
2021-04-28,52.360001,52.599998,51.930000,52.080002,52.080002,8145100
2021-04-29,52.259998,52.279999,50.660000,51.369999,51.369999,11150900
2021-04-30,53.270000,54.560001,52.939999,53.070000,53.070000,15298000
2021-05-03,53.369999,53.740002,53.119999,53.700001,53.700001,6636700
2021-05-04,53.270000,53.380001,52.740002,52.930000,52.930000,8149700
2021-05-05,53.270000,53.700001,53.080002,53.650002,53.650002,7360500
2021-05-06,53.270000,53.520000,52.970001,53.480000,53.480000,5502400
2021-05-07,53.529999,54.049999,53.529999,53.810001,53.810001,4775900
2021-05-10,54.549999,54.700001,54.169998,54.380001,54.380001,8362000
2021-05-11,53.330002,54.189999,53.330002,54.099998,54.099998,7480100
2021-05-12,54.720001,55.020000,54.380001,54.500000,54.500000,8345500
2021-05-13,54.459999,55.220001,54.430000,55.049999,55.049999,7311600
2021-05-14,55.240002,55.380001,55.080002,55.209999,55.209999,5198500
2021-05-17,55.490002,55.880001,55.430000,55.880001,55.880001,5528200
2021-05-18,56.209999,56.369999,55.990002,55.990002,55.990002,6982700
2021-05-19,56.250000,56.360001,55.950001,56.340000,56.340000,10347200
2021-05-20,56.970001,57.630001,56.880001,57.439999,57.439999,10172300
2021-05-21,57.580002,57.730000,57.349998,57.400002,57.400002,7252800
2021-05-24,57.509998,57.720001,57.430000,57.470001,57.470001,4324500
2021-05-25,57.330002,57.360001,56.759998,56.910000,56.910000,7404300
2021-05-26,57.009998,57.060001,56.520000,56.540001,56.540001,4063400
2021-05-27,56.209999,57.360001,56.200001,56.889999,56.889999,12365400
2021-05-28,56.750000,57.430000,56.700001,56.770000,56.770000,5563100
2021-06-01,57.139999,57.160000,56.150002,56.250000,56.250000,6757100
2021-06-02,55.880001,56.230000,55.860001,56.099998,56.099998,6077800
2021-06-03,55.779999,56.389999,55.730000,56.250000,56.250000,5497700
2021-06-04,56.639999,57.060001,56.570000,56.799999,56.799999,4868800
2021-06-07,56.619999,56.959999,56.349998,56.400002,56.400002,6282600
2021-06-08,56.799999,56.799999,55.919998,56.310001,56.310001,5164700
2021-06-09,56.959999,57.660000,56.860001,57.599998,57.599998,7486500
2021-06-10,58.139999,58.880001,57.950001,58.840000,58.840000,7558300
2021-06-11,59.130001,59.150002,58.529999,58.770000,58.770000,7684400
2021-06-14,58.959999,58.970001,58.320000,58.759998,58.759998,6596700
2021-06-15,58.990002,59.009998,58.580002,58.840000,58.840000,5940400
2021-06-16,58.860001,59.340000,58.279999,58.410000,58.410000,6968400
2021-06-17,58.060001,58.459999,57.869999,58.349998,58.349998,4875000
2021-06-18,57.830002,58.599998,57.570000,58.369999,58.369999,14107300
2021-06-21,58.200001,58.459999,57.980000,58.310001,58.310001,5305100
2021-06-22,58.160000,58.320000,57.689999,57.889999,57.889999,4899900
2021-06-23,58.849998,58.849998,57.880001,57.980000,57.980000,5804800
2021-06-24,58.389999,59.070000,58.330002,58.419998,58.419998,5247900
2021-06-25,59.049999,59.419998,58.810001,59.349998,59.349998,9532500
2021-06-28,59.779999,60.369999,59.730000,60.070000,60.070000,5822300
